Column,IQR_Outliers,ZScore_Outliers,MAD_Outliers,Total,IQR_Pct
Cold_Reheat_Temperature_C,422,159,37,50091,0.842
Flow_rate_KNm3h,409,148,20,50091,0.817
Main_steam_temperature_turbine_side_,398,140,29,50091,0.795
Pressure_Kpa,395,162,33,50091,0.789
Entropi_Inlet_MS_KjKg_Deg_C,392,138,21,50091,0.783
O2_in_APH_,391,151,29,50091,0.781
Corrected_Flue_Gas_Out_Temperature_C,387,155,26,50091,0.773
Main_steam_temperature_boiler_side_,385,160,32,50091,0.769
Feedwater_flow_th,384,156,32,50091,0.767
NPHR_KcalKwh,379,145,23,50091,0.757
Superheater_desuperheating_water_flow_th,374,139,25,50091,0.747
Cold_Reheat_Pressure_Mpa,372,139,18,50091,0.743
Entalphy_Isentropis_Cold_Reheat_kjkg,369,137,25,50091,0.737
Feedwater_pressure_MPa,368,149,33,50091,0.735
Control_stage_pressure_Mpa,365,148,26,50091,0.729
SO2_mgm3,364,147,32,50091,0.727
ΔP_aktual_KjKg,364,147,20,50091,0.727
Nox_mgm3,360,124,16,50091,0.719
Feedwater_temperature_,360,137,22,50091,0.719
Velocity_ms,360,127,33,50091,0.719
Opacity_,359,158,31,50091,0.717
Temp_C,357,134,18,50091,0.713
HHV_KcalKg,356,142,30,50091,0.711
O2_Out_APH_,356,147,17,50091,0.711
Reheat_steam_temperature_boiler_side_,353,145,15,50091,0.705
Reheat_steam_temperature_turbine_side_,351,115,18,50091,0.701
Reheat_steam_pressure_turbine_side_MPa,349,166,39,50091,0.697
CO2_ppm,347,111,15,50091,0.693
Entalphy_Cold_Reheat_kjkg,347,116,26,50091,0.693
Main_steam_flow_th,346,129,21,50091,0.691
Main_steam_pressure_boiler_side_Mpa,346,123,15,50091,0.691
Gross_Load_MW,340,122,30,50091,0.679
Flue_gas_temperature_,340,148,26,50091,0.679
Energy_Input_From_Boiler_Kcalh,339,120,21,50091,0.677
Dust_mgm3,338,131,16,50091,0.675
Circulating_water_outlet_temperature_,337,145,26,50091,0.673
APH_Leakage_,336,142,19,50091,0.671
HP_Turbine_eff_,335,126,25,50091,0.669
ΔHP_isentropis_KjKg,334,125,23,50091,0.667
CO_mgm3,331,136,18,50091,0.661
Condenser_vacuum_kPa,330,130,18,50091,0.659
Main_steam_pressure_turbine_side_MPa,330,118,17,50091,0.659
Coal_Flow_th,328,143,24,50091,0.655
O2_,326,129,29,50091,0.651
High_exhaust_pressure_Mpa,321,142,17,50091,0.641
Entalphy_inlet_MS_kjkg,321,124,20,50091,0.641
Refference_Temperature_C,321,140,19,50091,0.641
Boiler_oxygen_level_,320,114,14,50091,0.639
Boiler_Eff_,319,138,17,50091,0.637
APH_Effectiveness_,316,124,32,50091,0.631
NTHR_KcalKwh,314,129,18,50091,0.627
Reheater_desuperheating_water_flow_th,311,116,10,50091,0.621
Nett_Load_MW,311,125,23,50091,0.621
Flue_Gas_in_Temperature_C,272,100,14,50091,0.543
