Column,Dtype,Non_Null,Null,Unique,Min,Max,Mean,Std
Timestamp,datetime64[ns],50091,0,50091,N/A,N/A,N/A,N/A
Main_steam_flow_th,float64,50091,0,49747,817.50869618832,842.7471133395412,830.1401,4.6547
Main_steam_temperature_boiler_side_,float64,50091,0,49708,565.7086967650619,568.6961219810389,567.2029,0.5515
Main_steam_pressure_boiler_side_Mpa,float64,50091,0,49747,13.952557282422312,14.590055952855991,14.2717,0.1172
Reheat_steam_temperature_boiler_side_,float64,50091,0,49740,564.3096349952298,566.8892107811498,565.5997,0.4742
Superheater_desuperheating_water_flow_th,float64,50091,0,49719,65.95099445224002,97.35602560496534,81.6237,5.8126
Reheater_desuperheating_water_flow_th,float64,50091,0,49782,-0.0023907755762180294,5.483712387192278,2.7427,1.0053
Feedwater_temperature_,float64,50091,0,49733,223.05650142895612,247.45207988834997,235.2855,4.4737
Feedwater_flow_th,float64,50091,0,49709,813.6470960372374,854.0434473093608,833.8276,7.4532
Flue_gas_temperature_,float64,50091,0,49753,119.82941116699163,126.09620997490111,122.9624,1.155
Boiler_oxygen_level_,float64,50091,0,49773,4.394190099519527,5.071061474631183,4.7328,0.1242
Main_steam_temperature_turbine_side_,float64,50091,0,49695,563.3827600727502,566.6313287011992,565.0048,0.6016
Main_steam_pressure_turbine_side_MPa,float64,50091,0,49763,13.86124930062962,14.507871330942859,14.1845,0.1186
Reheat_steam_temperature_turbine_side_,float64,50091,0,49742,564.3056733314262,566.8814952411404,565.5918,0.4764
Reheat_steam_pressure_turbine_side_MPa,float64,50091,0,49744,1.9334580445023666,1.994672323980811,1.964,0.0112
Control_stage_pressure_Mpa,float64,50091,0,49728,10.244209697780008,10.644085082328623,10.4442,0.0737
High_exhaust_pressure_Mpa,float64,50091,0,49772,2.1586317963214414,2.2246060755813604,2.1916,0.0121
Feedwater_pressure_MPa,float64,50091,0,49725,15.272125135128263,15.882087937839223,15.5769,0.1123
Condenser_vacuum_kPa,float64,50091,0,49763,-93.52378105063599,-92.22732493415515,-92.8761,0.2382
Circulating_water_outlet_temperature_,float64,50091,0,49756,35.28517343430107,36.30701352850102,35.7953,0.1876
SO2_mgm3,float64,50091,0,49729,374.3439219035076,500.6259849941611,437.501,23.3031
Nox_mgm3,float64,50091,0,49733,149.43278296372694,239.04616767552466,194.1689,16.534
CO_mgm3,float64,50091,0,49762,-3.935389643735192,525.7252639461436,260.9345,97.3531
