Column,Raw_Min,Raw_Max,Clean_Min,Clean_Max,Capped
Main_steam_flow_th,809.1351,849.5816,817.5087,842.7471,True
Main_steam_temperature_boiler_side_,564.8427,569.5524,565.7087,568.6961,True
Main_steam_pressure_boiler_side_Mpa,13.7767,14.7174,13.9526,14.5901,True
Reheat_steam_temperature_boiler_side_,563.7188,567.3891,564.3096,566.8892,True
Superheater_desuperheating_water_flow_th,56.7462,107.8696,65.951,97.356,True
Reheater_desuperheating_water_flow_th,-1.0671,6.8213,-0.0024,5.4837,True
Feedwater_temperature_,216.4727,254.6755,223.0565,247.4521,True
Feedwater_flow_th,798.2731,871.5672,813.6471,854.0434,True
Flue_gas_temperature_,118.2056,128.0024,119.8294,126.0962,True
Boiler_oxygen_level_,4.204,5.2261,4.3942,5.0711,True
Main_steam_temperature_turbine_side_,562.4783,567.5487,563.3828,566.6313,True
Main_steam_pressure_turbine_side_MPa,13.6849,14.6971,13.8612,14.5079,True
Reheat_steam_temperature_turbine_side_,563.5547,567.3944,564.3057,566.8815,True
Reheat_steam_pressure_turbine_side_MPa,1.917,2.012,1.9335,1.9947,True
Control_stage_pressure_Mpa,10.1342,10.7351,10.2442,10.6441,True
High_exhaust_pressure_Mpa,2.1364,2.237,2.1586,2.2246,True
Feedwater_pressure_MPa,15.0955,16.0568,15.2721,15.8821,True
Condenser_vacuum_kPa,-93.8314,-91.8394,-93.5238,-92.2273,True
Circulating_water_outlet_temperature_,34.9675,36.5779,35.2852,36.307,True
SO2_mgm3,326.867,533.9906,374.3439,500.626,True
Nox_mgm3,127.4973,262.8733,149.4328,239.0462,True
CO_mgm3,-136.3244,673.636,-3.9354,525.7253,True
CO2_ppm,95367.7902,100514.9783,96206.7014,99479.6579,True
O2_,6.3102,6.8417,6.4101,6.7519,True
Velocity_ms,11.2731,12.3259,11.481,12.1689,True
Temp_C,73.3643,114.1656,81.8268,107.4219,True
Pressure_Kpa,-0.2825,-0.1913,-0.2708,-0.2141,True
Flow_rate_KNm3h,434.2586,474.9553,441.6941,468.3906,True
Opacity_,49.6753,49.7215,49.6859,49.7134,True
Dust_mgm3,-6.6296,33.0997,2.1117,26.8317,True
Boiler_Eff_,93.4482,93.8796,93.5359,93.8127,True
Entalphy_inlet_MS_kjkg,3495.2795,3512.5651,3497.8934,3509.8283,True
Entropi_Inlet_MS_KjKg_Deg_C,6.5846,6.6333,6.5925,6.6237,True
Cold_Reheat_Pressure_Mpa,2.1444,2.2455,2.1589,2.2237,True
Cold_Reheat_Temperature_C,315.4013,321.474,316.6198,320.3717,True
Entalphy_Cold_Reheat_kjkg,3055.2386,3068.4172,3057.3995,3066.3213,True
Entalphy_Isentropis_Cold_Reheat_kjkg,2946.5689,2966.7114,2950.2832,2963.043,True
ΔP_aktual_KjKg,433.6026,450.8286,436.1648,447.8727,True
ΔHP_isentropis_KjKg,541.3477,552.6762,543.6098,550.7902,True
HP_Turbine_eff_,79.3338,82.2423,79.8522,81.7041,True
O2_in_APH_,4.1171,5.2902,4.3765,5.0899,True
O2_Out_APH_,4.7482,5.4338,4.8895,5.3301,True
Refference_Temperature_C,28.6429,34.9846,29.966,33.9912,True
Flue_Gas_in_Temperature_C,347.9447,363.6794,350.6613,361.3079,True
APH_Leakage_,-2.0127,6.2872,-0.2603,4.6143,True
Corrected_Flue_Gas_Out_Temperature_C,119.9614,130.2098,121.6095,128.2702,True
APH_Effectiveness_,69.6909,72.7981,70.3123,72.3239,True
Coal_Flow_th,160.1679,173.4912,163.0562,171.4053,True
Energy_Input_From_Boiler_Kcalh,683510051.8129,736818503.6463,694373529.2282,728044212.6498,True
NTHR_KcalKwh,2448.6189,2632.1234,2480.454,2599.0615,True
NPHR_KcalKwh,2617.2926,2811.4231,2648.9714,2773.174,True
Gross_Load_MW,291.1581,301.4177,292.9399,299.7588,True
Nett_Load_MW,275.2636,284.5695,276.8271,283.2749,True
HHV_KcalKg,4209.8629,4292.2274,4228.6202,4278.5554,True
