Smooth_Column,Original_Column,Correlation
Main_steam_flow_th_smooth3,Main_steam_flow_th,0.977163
Main_steam_temperature_boiler_side__smooth3,Main_steam_temperature_boiler_side_,0.976646
Main_steam_pressure_boiler_side_Mpa_smooth3,Main_steam_pressure_boiler_side_Mpa,0.977299
Reheat_steam_temperature_boiler_side__smooth3,Reheat_steam_temperature_boiler_side_,0.976848
Superheater_desuperheating_water_flow_th_smooth3,Superheater_desuperheating_water_flow_th,0.976728
Reheater_desuperheating_water_flow_th_smooth3,Reheater_desuperheating_water_flow_th,0.976646
Feedwater_temperature__smooth3,Feedwater_temperature_,0.977386
Feedwater_flow_th_smooth3,Feedwater_flow_th,0.977124
Flue_gas_temperature__smooth3,Flue_gas_temperature_,0.976881
Boiler_oxygen_level__smooth3,Boiler_oxygen_level_,0.977455
Main_steam_temperature_turbine_side__smooth3,Main_steam_temperature_turbine_side_,0.976592
Main_steam_pressure_turbine_side_MPa_smooth3,Main_steam_pressure_turbine_side_MPa,0.976924
Reheat_steam_temperature_turbine_side__smooth3,Reheat_steam_temperature_turbine_side_,0.976994
Reheat_steam_pressure_turbine_side_MPa_smooth3,Reheat_steam_pressure_turbine_side_MPa,0.976926
Control_stage_pressure_Mpa_smooth3,Control_stage_pressure_Mpa,0.976639
High_exhaust_pressure_Mpa_smooth3,High_exhaust_pressure_Mpa,0.976816
Feedwater_pressure_MPa_smooth3,Feedwater_pressure_MPa,0.976905
Condenser_vacuum_kPa_smooth3,Condenser_vacuum_kPa,0.976861
Circulating_water_outlet_temperature__smooth3,Circulating_water_outlet_temperature_,0.976441
SO2_mgm3_smooth3,SO2_mgm3,0.976955
