Index,Column,Dtype,Is_Numeric,Is_Smooth,Is_Timestamp
0,Timestamp,object,False,False,True
1,Main_steam_flow_th,float64,True,False,False
2,Main_steam_temperature_boiler_side_,float64,True,False,False
3,Main_steam_pressure_boiler_side_Mpa,float64,True,False,False
4,Reheat_steam_temperature_boiler_side_,float64,True,False,False
5,Superheater_desuperheating_water_flow_th,float64,True,False,False
6,Reheater_desuperheating_water_flow_th,float64,True,False,False
7,Feedwater_temperature_,float64,True,False,False
8,Feedwater_flow_th,float64,True,False,False
9,Flue_gas_temperature_,float64,True,False,False
10,Boiler_oxygen_level_,float64,True,False,False
11,Main_steam_temperature_turbine_side_,float64,True,False,False
12,Main_steam_pressure_turbine_side_MPa,float64,True,False,False
13,Reheat_steam_temperature_turbine_side_,float64,True,False,False
14,Reheat_steam_pressure_turbine_side_MPa,float64,True,False,False
15,Control_stage_pressure_Mpa,float64,True,False,False
16,High_exhaust_pressure_Mpa,float64,True,False,False
17,Feedwater_pressure_MPa,float64,True,False,False
18,Condenser_vacuum_kPa,float64,True,False,False
19,Circulating_water_outlet_temperature_,float64,True,False,False
20,SO2_mgm3,float64,True,False,False
21,Nox_mgm3,float64,True,False,False
22,CO_mgm3,float64,True,False,False
23,CO2_ppm,float64,True,False,False
24,O2_,float64,True,False,False
25,Velocity_ms,float64,True,False,False
26,Temp_C,float64,True,False,False
27,Pressure_Kpa,float64,True,False,False
28,Flow_rate_KNm3h,float64,True,False,False
29,Opacity_,float64,True,False,False
30,Dust_mgm3,float64,True,False,False
31,Boiler_Eff_,float64,True,False,False
32,Entalphy_inlet_MS_kjkg,float64,True,False,False
33,Entropi_Inlet_MS_KjKg_Deg_C,float64,True,False,False
34,Cold_Reheat_Pressure_Mpa,float64,True,False,False
35,Cold_Reheat_Temperature_C,float64,True,False,False
36,Entalphy_Cold_Reheat_kjkg,float64,True,False,False
37,Entalphy_Isentropis_Cold_Reheat_kjkg,float64,True,False,False
38,ΔP_aktual_KjKg,float64,True,False,False
39,ΔHP_isentropis_KjKg,float64,True,False,False
40,HP_Turbine_eff_,float64,True,False,False
41,O2_in_APH_,float64,True,False,False
42,O2_Out_APH_,float64,True,False,False
43,Refference_Temperature_C,float64,True,False,False
44,Flue_Gas_in_Temperature_C,float64,True,False,False
45,APH_Leakage_,float64,True,False,False
46,Corrected_Flue_Gas_Out_Temperature_C,float64,True,False,False
47,APH_Effectiveness_,float64,True,False,False
48,Coal_Flow_th,float64,True,False,False
49,Energy_Input_From_Boiler_Kcalh,float64,True,False,False
50,NTHR_KcalKwh,float64,True,False,False
51,NPHR_KcalKwh,float64,True,False,False
52,Gross_Load_MW,float64,True,False,False
53,Nett_Load_MW,float64,True,False,False
54,HHV_KcalKg,float64,True,False,False
