Column,Original_Skew,Transformed_Skew,Method
Main_steam_flow_th,0.0076,0.0076,None (already normal)
Main_steam_temperature_boiler_side_,0.0068,0.0068,None (already normal)
Main_steam_pressure_boiler_side_Mpa,0.0126,0.0126,None (already normal)
Reheat_steam_temperature_boiler_side_,-0.0049,-0.0049,None (already normal)
Superheater_desuperheating_water_flow_th,-0.0078,-0.0078,None (already normal)
Reheater_desuperheating_water_flow_th,0.0103,0.0103,None (already normal)
Feedwater_temperature_,0.0308,0.0308,None (already normal)
Feedwater_flow_th,-0.015,-0.015,None (already normal)
Flue_gas_temperature_,0.0058,0.0058,None (already normal)
Boiler_oxygen_level_,0.0093,0.0093,None (already normal)
Main_steam_temperature_turbine_side_,-0.0087,-0.0087,None (already normal)
Main_steam_pressure_turbine_side_MPa,0.0118,0.0118,None (already normal)
Reheat_steam_temperature_turbine_side_,-0.0002,-0.0002,None (already normal)
Reheat_steam_pressure_turbine_side_MPa,-0.0093,-0.0093,None (already normal)
Control_stage_pressure_Mpa,-0.0037,-0.0037,None (already normal)
High_exhaust_pressure_Mpa,0.0007,0.0007,None (already normal)
Feedwater_pressure_MPa,-0.01,-0.01,None (already normal)
Condenser_vacuum_kPa,0.0199,0.0199,None (already normal)
Circulating_water_outlet_temperature_,0.0039,0.0039,None (already normal)
SO2_mgm3,-0.0077,-0.0077,None (already normal)
Nox_mgm3,-0.0039,-0.0039,None (already normal)
CO_mgm3,-0.0083,-0.0083,None (already normal)
CO2_ppm,0.0287,0.0287,None (already normal)
O2_,0.0069,0.0069,None (already normal)
Velocity_ms,-0.0065,-0.0065,None (already normal)
Temp_C,0.0154,0.0154,None (already normal)
Pressure_Kpa,0.0175,0.0175,None (already normal)
Flow_rate_KNm3h,0.0018,0.0018,None (already normal)
Opacity_,0.0039,0.0039,None (already normal)
Dust_mgm3,0.0206,0.0206,None (already normal)
Boiler_Eff_,-0.0183,-0.0183,None (already normal)
Entalphy_inlet_MS_kjkg,0.0112,0.0112,None (already normal)
Entropi_Inlet_MS_KjKg_Deg_C,0.0113,0.0113,None (already normal)
Cold_Reheat_Pressure_Mpa,-0.0003,-0.0003,None (already normal)
Cold_Reheat_Temperature_C,0.0027,0.0027,None (already normal)
Entalphy_Cold_Reheat_kjkg,0.0227,0.0227,None (already normal)
Entalphy_Isentropis_Cold_Reheat_kjkg,0.0084,0.0084,None (already normal)
ΔP_aktual_KjKg,0.0072,0.0072,None (already normal)
ΔHP_isentropis_KjKg,-0.0128,-0.0128,None (already normal)
HP_Turbine_eff_,-0.022,-0.022,None (already normal)
O2_in_APH_,-0.004,-0.004,None (already normal)
O2_Out_APH_,-0.002,-0.002,None (already normal)
Refference_Temperature_C,-0.0176,-0.0176,None (already normal)
Flue_Gas_in_Temperature_C,0.0297,0.0297,None (already normal)
APH_Leakage_,-0.0024,-0.0024,None (already normal)
Corrected_Flue_Gas_Out_Temperature_C,-0.0219,-0.0219,None (already normal)
APH_Effectiveness_,0.0037,0.0037,None (already normal)
Coal_Flow_th,0.0011,0.0011,None (already normal)
Energy_Input_From_Boiler_Kcalh,0.0184,0.0184,None (already normal)
NTHR_KcalKwh,-0.0156,-0.0156,None (already normal)
NPHR_KcalKwh,-0.0139,-0.0139,None (already normal)
Gross_Load_MW,0.0092,0.0092,None (already normal)
Nett_Load_MW,-0.0119,-0.0119,None (already normal)
HHV_KcalKg,-0.0277,-0.0277,None (already normal)
