Feature,Correlation_with_Target,Abs_Correlation
Boiler_Eff_,1.0,1.0
Corrected_Flue_Gas_Out_Temperature_C,-0.01697684989977805,0.01697684989977805
Main_steam_flow_th,-0.013007201102235742,0.013007201102235742
Cold_Reheat_Pressure_Mpa,0.01211055037020779,0.01211055037020779
CO_mgm3,-0.011055149487849109,0.011055149487849109
O2_,-0.010701291768337314,0.010701291768337314
Flue_Gas_in_Temperature_C,-0.01064479711985604,0.01064479711985604
ΔHP_isentropis_KjKg,-0.01062989320367544,0.01062989320367544
Condenser_vacuum_kPa,0.009441602111824925,0.009441602111824925
NPHR_KcalKwh,0.009009748969057886,0.009009748969057886
Entalphy_Cold_Reheat_kjkg,0.008660316197196705,0.008660316197196705
O2_Out_APH_,-0.008549918856776978,0.008549918856776978
Nett_Load_MW,-0.0076853411434011165,0.0076853411434011165
High_exhaust_pressure_Mpa,-0.007351325400466588,0.007351325400466588
Boiler_oxygen_level_,-0.007043898888876547,0.007043898888876547
Coal_Flow_th,0.0063795689336878575,0.0063795689336878575
Reheat_steam_pressure_turbine_side_MPa,0.006288729098642953,0.006288729098642953
Energy_Input_From_Boiler_Kcalh,-0.006086252279627737,0.006086252279627737
Dust_mgm3,0.006020798572360897,0.006020798572360897
SO2_mgm3,0.005886587462773965,0.005886587462773965
Feedwater_flow_th,-0.0058124607126749245,0.0058124607126749245
Entalphy_Isentropis_Cold_Reheat_kjkg,-0.005706369736889222,0.005706369736889222
O2_in_APH_,-0.005693542663302924,0.005693542663302924
Entropi_Inlet_MS_KjKg_Deg_C,-0.005092995056957878,0.005092995056957878
APH_Effectiveness_,0.004572126914825539,0.004572126914825539
Control_stage_pressure_Mpa,-0.004422872354395518,0.004422872354395518
HP_Turbine_eff_,-0.004376719573834256,0.004376719573834256
Main_steam_pressure_boiler_side_Mpa,0.003851202565622371,0.003851202565622371
ΔP_aktual_KjKg,0.003844632955984688,0.003844632955984688
Main_steam_temperature_boiler_side_,-0.003789748203752846,0.003789748203752846
Circulating_water_outlet_temperature_,0.0029903189948872664,0.0029903189948872664
APH_Leakage_,-0.0029077690075363693,0.0029077690075363693
Cold_Reheat_Temperature_C,-0.002727813425425941,0.002727813425425941
Temp_C,0.002672768536503487,0.002672768536503487
Main_steam_pressure_turbine_side_MPa,0.002590689438374862,0.002590689438374862
NTHR_KcalKwh,-0.0022280738701563286,0.0022280738701563286
Nox_mgm3,0.002102329790756517,0.002102329790756517
CO2_ppm,-0.0019348701797509498,0.0019348701797509498
HHV_KcalKg,-0.0016532458242746809,0.0016532458242746809
Reheat_steam_temperature_turbine_side_,0.0015805381914191993,0.0015805381914191993
Pressure_Kpa,0.0015545997566601608,0.0015545997566601608
Flue_gas_temperature_,0.0014443998071794583,0.0014443998071794583
Superheater_desuperheating_water_flow_th,-0.0014132506524011162,0.0014132506524011162
Velocity_ms,-0.0013125856565297449,0.0013125856565297449
Opacity_,0.0013012210008726975,0.0013012210008726975
Reheater_desuperheating_water_flow_th,-0.001289402088002399,0.001289402088002399
Flow_rate_KNm3h,0.001147839106520727,0.001147839106520727
Main_steam_temperature_turbine_side_,-0.0010837460001689092,0.0010837460001689092
Entalphy_inlet_MS_kjkg,0.0010023609052360292,0.0010023609052360292
Reheat_steam_temperature_boiler_side_,-0.0006779988680560102,0.0006779988680560102
Gross_Load_MW,-0.000565352843285135,0.000565352843285135
Feedwater_pressure_MPa,-0.0004432060789207286,0.0004432060789207286
Feedwater_temperature_,-0.00013821601456438445,0.00013821601456438445
Refference_Temperature_C,-0.0001381850294841497,0.0001381850294841497
