Feature,Correlation_with_Anomaly,Abs_Correlation
APH_Leakage_,-0.1619185049077172,0.1619185049077172
CO_mgm3,-0.080413334527771,0.080413334527771
Reheater_desuperheating_water_flow_th,-0.06406729871696668,0.06406729871696668
Dust_mgm3,-0.015701773858521305,0.015701773858521305
Feedwater_temperature_,0.014479996347275328,0.014479996347275328
O2_Out_APH_,0.01289889631193222,0.01289889631193222
Flue_gas_temperature_,0.011889453181170342,0.011889453181170342
NTHR_KcalKwh,-0.01098860221001313,0.01098860221001313
Circulating_water_outlet_temperature_,-0.008742554179567574,0.008742554179567574
Corrected_Flue_Gas_Out_Temperature_C,-0.0084516001703118,0.0084516001703118
Opacity_,-0.008150052944996319,0.008150052944996319
Cold_Reheat_Pressure_Mpa,-0.008037352749037082,0.008037352749037082
Flue_Gas_in_Temperature_C,0.007967753185665073,0.007967753185665073
NPHR_KcalKwh,-0.00795488090919848,0.00795488090919848
Main_steam_temperature_turbine_side_,0.00759072285133348,0.00759072285133348
SO2_mgm3,0.005878268295551522,0.005878268295551522
Reheat_steam_temperature_turbine_side_,-0.005493271620287292,0.005493271620287292
Boiler_Eff_,-0.005315903052210581,0.005315903052210581
Boiler_oxygen_level_,0.005245996714060604,0.005245996714060604
Gross_Load_MW,0.005091316209843993,0.005091316209843993
HHV_KcalKg,0.00502435604183418,0.00502435604183418
Pressure_Kpa,-0.004327717319587829,0.004327717319587829
CO2_ppm,-0.004322259523479662,0.004322259523479662
Entalphy_Cold_Reheat_kjkg,-0.004256377334298476,0.004256377334298476
Reheat_steam_temperature_boiler_side_,0.004164376129560576,0.004164376129560576
Control_stage_pressure_Mpa,0.0040498246170870495,0.0040498246170870495
ΔHP_isentropis_KjKg,0.003980911340105745,0.003980911340105745
Main_steam_temperature_boiler_side_,0.003975165295528975,0.003975165295528975
Nett_Load_MW,0.003943546871891267,0.003943546871891267
Main_steam_pressure_turbine_side_MPa,-0.00391195776048216,0.00391195776048216
HP_Turbine_eff_,0.0037152224945693254,0.0037152224945693254
Velocity_ms,0.0036116124722922124,0.0036116124722922124
Main_steam_pressure_boiler_side_Mpa,0.003412980903361605,0.003412980903361605
Temp_C,0.0032211836348941085,0.0032211836348941085
High_exhaust_pressure_Mpa,-0.003059921902244134,0.003059921902244134
Refference_Temperature_C,0.0029805809072416594,0.0029805809072416594
Entalphy_Isentropis_Cold_Reheat_kjkg,-0.002646507133782001,0.002646507133782001
Entropi_Inlet_MS_KjKg_Deg_C,-0.002636404832266546,0.002636404832266546
O2_in_APH_,0.0025862138310834603,0.0025862138310834603
O2_,0.0025366168525786216,0.0025366168525786216
APH_Effectiveness_,-0.0024555328455770813,0.0024555328455770813
Feedwater_pressure_MPa,0.002216397313187991,0.002216397313187991
Main_steam_flow_th,0.002187404077291609,0.002187404077291609
ΔP_aktual_KjKg,-0.0021630743818768635,0.0021630743818768635
Entalphy_inlet_MS_kjkg,-0.0020194898143177822,0.0020194898143177822
Reheat_steam_pressure_turbine_side_MPa,-0.0015364839468193009,0.0015364839468193009
Flow_rate_KNm3h,0.0015084899045704249,0.0015084899045704249
Cold_Reheat_Temperature_C,-0.0010835613903213384,0.0010835613903213384
Feedwater_flow_th,-0.0006278923708061731,0.0006278923708061731
Condenser_vacuum_kPa,0.000536487984929146,0.000536487984929146
Superheater_desuperheating_water_flow_th,-0.0004241203299055374,0.0004241203299055374
Coal_Flow_th,-0.0003099490262224621,0.0003099490262224621
Nox_mgm3,0.00019271295732703226,0.00019271295732703226
Energy_Input_From_Boiler_Kcalh,0.00016013866429649196,0.00016013866429649196
