Feature,F_Score_Clf,P_Value_Clf
aph_effect_leak_ratio_log,4256.31755350766,0.0
APH_Leakage_,1348.5697432870388,2.3823304623527436e-291
aph_effect_leak_ratio,541.8647805756893,3.19142903703489e-119
CO_mgm3,325.9987265729305,1.2163579770708313e-72
Reheater_desuperheating_water_flow_th,206.4436216779622,1.0158208802627552e-46
Dust_mgm3,12.352273082584642,0.00044083839703724177
Feedwater_temperature_,10.50437780495731,0.0011916981594598793
feedwater_temp_rise,9.542438087025907,0.002008847334988167
O2_Out_APH_,8.335271093794034,0.0038899301450924235
Flue_gas_temperature_,7.081536929252859,0.007790701360622635
Flue_gas_temperature__bin,6.98281554623682,0.008232162599688786
flue_gas_temp_diff,6.382380486657263,0.01152892842415165
NTHR_KcalKwh,6.04894606337729,0.013917954334169744
Circulating_water_outlet_temperature_,3.8287075507681343,0.05038731570461852
Corrected_Flue_Gas_Out_Temperature_C,3.5780900530287045,0.058552191886565796
Opacity_,3.3276881263110387,0.06812852188322875
day_of_month,3.282823031352087,0.07001439861996972
Cold_Reheat_Pressure_Mpa,3.2359101953201908,0.07204627969966716
Flue_Gas_in_Temperature_C,3.1801065557494126,0.07454592210988191
NPHR_KcalKwh,3.1698391277900386,0.07501589409202535
week_of_year,2.9172166382192692,0.08764511145137123
Main_steam_temperature_turbine_side_,2.886254157561386,0.08934462820296843
SO2_mgm3,1.730837020488897,0.18831005921501406
Reheat_steam_temperature_turbine_side_,1.5115190562729006,0.21891321318140644
Boiler_oxygen_level__bin,1.4814169533259336,0.22355869275443654
Boiler_oxygen_level_,1.3785113343052604,0.24036046627120777
Gross_Load_MW,1.2984157439792423,0.25450825815171096
HHV_KcalKg,1.2644873527616112,0.26080879065790646
hour,1.25749738146035,0.2621307101826582
air_to_fuel_ratio,1.2521621509562768,0.2631452857757662
o2_aph_diff,1.0470710473140314,0.3061875584304428
turbine_to_boiler_eff,0.9553190665082681,0.3283737805758793
Pressure_Kpa,0.9381413312792615,0.33276097921603587
CO2_ppm,0.9357764403484389,0.33337107597421556
Entalphy_Cold_Reheat_kjkg,0.907514074469524,0.34077946630240097
Reheat_steam_temperature_boiler_side_,0.8686676345804611,0.35132892019484874
Control_stage_pressure_Mpa,0.8215269586153379,0.36473845702437635
ΔHP_isentropis_KjKg,0.7938056939586627,0.3729561218409513
Main_steam_temperature_boiler_side_,0.7915103536755057,0.3736480908868184
Nett_Load_MW,0.7789750283399238,0.3774590315368267
Main_steam_pressure_turbine_side_MPa,0.7665442625863232,0.38129243828796733
deltaP_ratio,0.6964542049778386,0.4039816839197743
HP_Turbine_eff_,0.6913810510849266,0.4056989946733395
Velocity_ms,0.6533567240562546,0.4189189523875103
Main_steam_pressure_boiler_side_Mpa,0.5834654586780128,0.44496076656443573
Temp_C,0.5197300556228845,0.4709602198785211
dow_sin,0.48835549676888684,0.4846650427604221
day_of_week,0.47860055697918436,0.48906009810784734
High_exhaust_pressure_Mpa,0.4689937946891407,0.49345360337958377
Refference_Temperature_C,0.44498775351617165,0.5047279243308022
Entalphy_Isentropis_Cold_Reheat_kjkg,0.35082187752604016,0.5536509270900885
Entropi_Inlet_MS_KjKg_Deg_C,0.34813829151477843,0.5551715563177819
O2_in_APH_,0.33502260047940347,0.5627190619023702
O2_,0.3222960372089911,0.5702336114729116
APH_Effectiveness_,0.30202039135650144,0.582621030642472
month_sin,0.2729438744263528,0.6013661085478816
Feedwater_pressure_MPa,0.2460593767638521,0.6198657385451525
hour_cos,0.2444418351946231,0.6210184021391891
Main_steam_flow_th,0.23966327592359296,0.6244515643141344
ΔP_aktual_KjKg,0.23436240927966961,0.6283099819615516
Entalphy_inlet_MS_kjkg,0.2042829516018701,0.6512877137086588
quarter,0.18177813021371955,0.6698514080695954
heat_rate_deviation,0.1579919886236281,0.6910137065014382
month,0.14800884905564418,0.7004471151817097
Reheat_steam_pressure_turbine_side_MPa,0.11824942210306588,0.7309423861809106
Flow_rate_KNm3h,0.1139798152542939,0.7356592978893062
steam_to_fuel_ratio,0.09637180717441764,0.7562291245709234
Cold_Reheat_Temperature_C,0.05881079958318873,0.8083864821549585
hour_sin,0.05733542493394538,0.8107590635177806
enthalpy_drop,0.04466262320223992,0.8326264731055679
net_to_gross_load,0.038821527760521106,0.8438034570211878
Feedwater_flow_th,0.019747451428200093,0.8882452721993854
Condenser_vacuum_kPa,0.014419294496226328,0.9044199664631374
dow_cos,0.009330505344987486,0.9230487783520522
Superheater_desuperheating_water_flow_th,0.009009914519625045,0.9243782978628188
month_cos,0.006606100246776322,0.9352212580961988
energy_per_coal,0.006138257153691669,0.9375523206209484
Coal_Flow_th,0.004811814376207753,0.9446975794430656
Nox_mgm3,0.0018602218200077171,0.9655978466522225
Energy_Input_From_Boiler_Kcalh,0.0012843714431897814,0.9714115733826819
