Feature,F_Score_Reg,P_Value_Reg
turbine_to_boiler_eff,887.3800945581465,2.667149245281583e-193
day_of_month,16.610178772806258,4.59747081703072e-05
Corrected_Flue_Gas_Out_Temperature_C,14.440484581443235,0.00014482988581205656
dow_sin,10.203900303006522,0.0014023067721265015
Main_steam_flow_th,8.47585572492822,0.0036004967944382035
hour_cos,7.773077751436874,0.0053050602973647686
steam_to_fuel_ratio,7.654371817083605,0.005665566880250862
Cold_Reheat_Pressure_Mpa,7.347402322834198,0.006718259951869484
CO_mgm3,6.122442026031607,0.01335091526173748
O2_,5.736731314758272,0.016617331980640363
Flue_Gas_in_Temperature_C,5.676313241572566,0.017199171353042147
ΔHP_isentropis_KjKg,5.660427648967779,0.01735561499705608
hour,4.490804339273137,0.03408254702225962
Condenser_vacuum_kPa,4.465524437621367,0.03459040337432404
NPHR_KcalKwh,4.066333526405604,0.04375145760470809
energy_per_coal,3.9861466500605207,0.04588126844609042
air_to_fuel_ratio,3.7725352030478474,0.05210620658219165
Entalphy_Cold_Reheat_kjkg,3.757010608224897,0.05259212687021854
day_of_week,3.662573405783746,0.05565331321956579
O2_Out_APH_,3.6618293113192553,0.05567816978608288
month_sin,3.6344887880879586,0.05659969918661386
deltaP_ratio,3.3604579985159555,0.06678542501391964
heat_rate_deviation,3.2876903607454464,0.06980712744565398
Nett_Load_MW,2.958654933017426,0.08542514862140274
dow_cos,2.7925289921767322,0.09471090545465649
High_exhaust_pressure_Mpa,2.7070553023913324,0.09991152770083088
week_of_year,2.492882724149006,0.11436839722476234
Boiler_oxygen_level_,2.485364765325911,0.11491601995515473
month,2.3455225711151377,0.12564973711137026
Coal_Flow_th,2.0386501544060134,0.15335190520615297
Reheat_steam_pressure_turbine_side_MPa,1.981003798993838,0.159290903997165
Energy_Input_From_Boiler_Kcalh,1.8554888593965955,0.17315248004625486
Dust_mgm3,1.8157928461378297,0.17782097802541047
SO2_mgm3,1.7357397635419805,0.18768555961375394
Feedwater_flow_th,1.6922989957728367,0.1933041723824205
Entalphy_Isentropis_Cold_Reheat_kjkg,1.631084035808105,0.20155909674111316
O2_in_APH_,1.6237591036607637,0.20257434176169622
Entropi_Inlet_MS_KjKg_Deg_C,1.2992722241141041,0.2543516536124936
net_to_gross_load,1.269173384624781,0.25992720683634146
hour_sin,1.249173750778086,0.26371570571511715
Boiler_oxygen_level__bin,1.1216964440871855,0.2895585659260789
APH_Effectiveness_,1.0470995926808928,0.3061809655016131
quarter,1.0247724278697488,0.31139453436179215
Control_stage_pressure_Mpa,0.9798501675549681,0.32224058179776316
enthalpy_drop,0.9703526085245252,0.3245970132069923
HP_Turbine_eff_,0.9595069574191081,0.3273158617564693
aph_effect_leak_ratio_log,0.8000836402670369,0.3710726615651643
Main_steam_pressure_boiler_side_Mpa,0.7429191006592921,0.3887315139921844
ΔP_aktual_KjKg,0.7403865907597176,0.3895411859349186
Main_steam_temperature_boiler_side_,0.7193981783860219,0.39634544155160834
Circulating_water_outlet_temperature_,0.44790022230455057,0.5033368802487583
APH_Leakage_,0.42351211671356764,0.5151927335852782
Cold_Reheat_Temperature_C,0.37271333663108525,0.5415317392580907
Temp_C,0.3578229266542406,0.5497205239845733
Main_steam_pressure_turbine_side_MPa,0.3361831801574565,0.562043299902226
NTHR_KcalKwh,0.24865871958077143,0.6180232913036179
month_cos,0.22812720933864397,0.6329180490410843
Nox_mgm3,0.22138386702355142,0.6379895469207219
CO2_ppm,0.18752002728517247,0.6649906069379385
HHV_KcalKg,0.1369047268068519,0.71137929545353
Reheat_steam_temperature_turbine_side_,0.12512767215471982,0.7235398032250258
Pressure_Kpa,0.12105440656486474,0.727895164492574
Flue_gas_temperature_,0.10450043642977437,0.7464957012430553
Superheater_desuperheating_water_flow_th,0.10004182803574,0.7517807625289765
Velocity_ms,0.08629754167140354,0.7689391325546809
Opacity_,0.08480947989863408,0.7708837591739103
Reheater_desuperheating_water_flow_th,0.08327599335480136,0.7729072095635766
Flow_rate_KNm3h,0.06599407713475908,0.7972623339293627
Main_steam_temperature_turbine_side_,0.05882988077688633,0.8083560048417433
Entalphy_inlet_MS_kjkg,0.0503258237634405,0.8224981980512625
Reheat_steam_temperature_boiler_side_,0.02302505404610932,0.8793925493895816
aph_effect_leak_ratio,0.019440469389438164,0.88911165188689
Gross_Load_MW,0.016009644918006667,0.8993135241781963
Flue_gas_temperature__bin,0.014978785294996107,0.9025923531855621
Feedwater_pressure_MPa,0.009839066416324246,0.9209861693260522
o2_aph_diff,0.006335441723550244,0.9365593018117057
Feedwater_temperature_,0.0009568836554604285,0.975322668028745
Refference_Temperature_C,0.0009564546642076315,0.9753281985797738
feedwater_temp_rise,0.0006493460871577034,0.9796703918005107
flue_gas_temp_diff,0.0001281737139700069,0.9909670812940472
