Feature,MI_Regression,MI_Classification
APH_Leakage_,0.0,0.034945629957488844
aph_effect_leak_ratio_log,0.0,0.027171275443267806
aph_effect_leak_ratio,0.002236748092795615,0.027136379520969367
CO_mgm3,0.0,0.01784398533704945
Reheater_desuperheating_water_flow_th,0.0,0.012642763511078514
dow_sin,0.0,0.0029144945970248637
Boiler_oxygen_level__bin,0.0007032363567729405,0.0026616575713424018
quarter,0.0004521254860003765,0.0025415115156650625
dow_cos,0.0,0.0022696212703435803
month_sin,0.0,0.0021921488219098784
Flue_gas_temperature__bin,0.000829023465195533,0.0021351402790174
month,0.0,0.0017052629088517568
High_exhaust_pressure_Mpa,0.0,0.0015084481135226868
month_cos,0.0,0.0013603757818672069
Dust_mgm3,0.0,0.0010800169530122972
day_of_week,0.0,0.0010110621438734757
hour_sin,0.004689069649807642,0.0009514984019673989
hour_cos,0.0019285100574575331,0.0008350882752747868
Condenser_vacuum_kPa,0.004440093602883444,0.0006866336052331334
day_of_month,0.0012159123493686863,0.0006351322958417782
Feedwater_pressure_MPa,0.0,0.0006321747767350505
HHV_KcalKg,0.0,0.0006281056679444674
Flow_rate_KNm3h,0.0,0.0006135146625387833
Entropi_Inlet_MS_KjKg_Deg_C,0.0002587954013995031,0.0005653389068442927
energy_per_coal,0.0029833977802313782,0.0005534031592022703
Boiler_oxygen_level_,0.0,0.0005293322737329742
APH_Effectiveness_,0.0017639112292586745,0.00048083959737921234
deltaP_ratio,0.002085346892783946,0.0004646200053097793
O2_,0.003544870181750426,0.0004492590205595892
Corrected_Flue_Gas_Out_Temperature_C,0.003944635842445976,0.0004471698460253304
Opacity_,0.001281520138881831,0.00038082784484250176
Main_steam_pressure_turbine_side_MPa,0.0,0.00037777825671225784
Energy_Input_From_Boiler_Kcalh,0.0024108765031591872,0.00036502510161073864
hour,0.0058737344244077505,0.0003324769730794763
O2_in_APH_,0.004797748396565105,0.00032817448866406806
week_of_year,0.00030238896852718966,0.0002648001285094903
Coal_Flow_th,0.0,0.00022769800879585134
NTHR_KcalKwh,0.0,0.00022182516020441412
Gross_Load_MW,0.0,0.00020619246417830084
Main_steam_pressure_boiler_side_Mpa,0.0,0.0001803349537559118
Superheater_desuperheating_water_flow_th,0.0022908968261861062,0.0001229156239634932
Nett_Load_MW,0.0,9.091077598433195e-05
Flue_gas_temperature_,0.0016306408279307405,8.43532475316433e-05
SO2_mgm3,0.006068803500534514,4.418955407414771e-05
ΔHP_isentropis_KjKg,0.0043227739961979594,1.3920386038313026e-05
Main_steam_flow_th,0.0,0.0
Feedwater_temperature_,0.0030376367693989437,0.0
Feedwater_flow_th,0.0,0.0
Control_stage_pressure_Mpa,0.004409260930263059,0.0
Reheat_steam_pressure_turbine_side_MPa,0.004596081187426826,0.0
Reheat_steam_temperature_turbine_side_,0.0027772272431514367,0.0
Main_steam_temperature_turbine_side_,0.0006380699406101087,0.0
Reheat_steam_temperature_boiler_side_,0.0028324244401867205,0.0
Main_steam_temperature_boiler_side_,0.007167752667478489,0.0
ΔP_aktual_KjKg,0.0010163887559118123,0.0
HP_Turbine_eff_,0.0,0.0
Cold_Reheat_Pressure_Mpa,0.004040462200118,0.0
CO2_ppm,0.0,0.0
Circulating_water_outlet_temperature_,0.00016645417410998675,0.0
Nox_mgm3,0.0009489997262512873,0.0
Pressure_Kpa,0.00557966146750033,0.0
Temp_C,0.0,0.0
Velocity_ms,0.0038037326610922406,0.0
Entalphy_inlet_MS_kjkg,0.0016620194700927016,0.0
Refference_Temperature_C,0.0,0.0
O2_Out_APH_,0.001629132168276648,0.0
Flue_Gas_in_Temperature_C,0.0,0.0
Cold_Reheat_Temperature_C,0.0,0.0
Entalphy_Isentropis_Cold_Reheat_kjkg,0.0,0.0
Entalphy_Cold_Reheat_kjkg,0.0065591797922506245,0.0
NPHR_KcalKwh,0.0,0.0
steam_to_fuel_ratio,0.002261926582690421,0.0
flue_gas_temp_diff,0.0011321891059070666,0.0
heat_rate_deviation,0.0,0.0
air_to_fuel_ratio,0.0024732687374200424,0.0
feedwater_temp_rise,0.0,0.0
o2_aph_diff,0.0037491316034534705,0.0
net_to_gross_load,0.002121510382796288,0.0
turbine_to_boiler_eff,0.014749380159268632,0.0
enthalpy_drop,0.0,0.0
