Feature,Importance_Reg
HP_Turbine_eff_,0.5231176884234223
turbine_to_boiler_eff,0.4692351406564468
Main_steam_pressure_boiler_side_Mpa,0.00014092192779283704
NPHR_KcalKwh,0.00013350817233107786
flue_gas_temp_diff,0.00012994317743026442
Feedwater_pressure_MPa,0.0001276130493694203
Entropi_Inlet_MS_KjKg_Deg_C,0.00012563573310828295
Superheater_desuperheating_water_flow_th,0.00012455123097453925
HHV_KcalKg,0.00012345610631937068
Cold_Reheat_Temperature_C,0.00012314370375371617
Velocity_ms,0.00012250041771477485
CO_mgm3,0.00012182486180745384
Refference_Temperature_C,0.00011895398879928438
Main_steam_temperature_turbine_side_,0.0001188782098024421
Cold_Reheat_Pressure_Mpa,0.00011713362916325586
Main_steam_pressure_turbine_side_MPa,0.00011666819755887886
Reheater_desuperheating_water_flow_th,0.00011661291042201336
Reheat_steam_pressure_turbine_side_MPa,0.00011613078147284572
SO2_mgm3,0.00011542385966892572
Nox_mgm3,0.00011535801991912608
energy_per_coal,0.00011479906153402077
Gross_Load_MW,0.00011427815802703596
Flue_Gas_in_Temperature_C,0.00011357972148484282
Circulating_water_outlet_temperature_,0.00011257459247503104
Corrected_Flue_Gas_Out_Temperature_C,0.00011216201975719916
Entalphy_Isentropis_Cold_Reheat_kjkg,0.00011195160380621199
CO2_ppm,0.0001111173929287282
High_exhaust_pressure_Mpa,0.00011095753225013301
Condenser_vacuum_kPa,0.00011092689445720062
Flow_rate_KNm3h,0.00011069196101824537
Reheat_steam_temperature_turbine_side_,0.00011067048824559357
Control_stage_pressure_Mpa,0.0001103815333287061
ΔP_aktual_KjKg,0.00010941665496125703
steam_to_fuel_ratio,0.00010933596277053251
Reheat_steam_temperature_boiler_side_,0.00010931213826554474
Flue_gas_temperature_,0.00010914209376462862
Temp_C,0.00010896344485942734
Main_steam_temperature_boiler_side_,0.00010888234643858959
O2_Out_APH_,0.00010823573580994022
Energy_Input_From_Boiler_Kcalh,0.00010808408375314699
Pressure_Kpa,0.00010746502706209534
Entalphy_inlet_MS_kjkg,0.00010746038041287976
ΔHP_isentropis_KjKg,0.00010711525254573154
heat_rate_deviation,0.00010678926202597998
Main_steam_flow_th,0.0001066559577940722
Feedwater_flow_th,0.00010664021808730845
Dust_mgm3,0.00010658555697064587
APH_Effectiveness_,0.00010635288912391988
Nett_Load_MW,0.00010599569688583413
Opacity_,0.00010588356890108038
NTHR_KcalKwh,0.00010578729818339775
Entalphy_Cold_Reheat_kjkg,0.00010571376142052404
o2_aph_diff,0.00010531733500113682
Coal_Flow_th,0.00010236251070830183
O2_,9.98997832131233e-05
O2_in_APH_,9.658284629297288e-05
deltaP_ratio,9.651901291718567e-05
Feedwater_temperature_,9.389967476344705e-05
net_to_gross_load,9.32534982386005e-05
enthalpy_drop,9.205701335606815e-05
day_of_month,9.127576601341445e-05
feedwater_temp_rise,8.99963493556105e-05
Boiler_oxygen_level_,8.769140302276804e-05
air_to_fuel_ratio,8.740315178061477e-05
hour,7.902237386763683e-05
week_of_year,7.257881437675992e-05
hour_cos,6.996766301998665e-05
APH_Leakage_,6.787111967453817e-05
hour_sin,6.347412505192369e-05
dow_sin,5.993282586704739e-05
month_cos,5.614947821954014e-05
aph_effect_leak_ratio_log,5.333045883538928e-05
aph_effect_leak_ratio,5.166086029187834e-05
day_of_week,4.685752038593068e-05
month_sin,4.318598970218146e-05
month,3.614987938761714e-05
dow_cos,3.23146785704154e-05
Flue_gas_temperature__bin,2.7618721573055913e-05
Boiler_oxygen_level__bin,2.7537758617480924e-05
quarter,2.10940412682226e-05
