Component,Explained_Variance,Cumulative_Variance
PC1,0.04598792689699866,0.04598792689699866
PC2,0.03808009153033342,0.08406801842733208
PC3,0.03098832246780127,0.11505634089513335
PC4,0.025989343691102743,0.1410456845862361
PC5,0.025677837587965435,0.16672352217420153
PC6,0.025398731169751016,0.19212225334395255
PC7,0.02515276772845179,0.21727502107240435
PC8,0.02499660239914805,0.2422716234715524
PC9,0.024752594805367935,0.26702421827692036
PC10,0.02467373963112535,0.2916979579080457
PC11,0.02454518391261786,0.31624314182066354
PC12,0.024065517580494192,0.34030865940115773
PC13,0.02389677504365775,0.36420543444481546
PC14,0.022598045649937136,0.38680348009475257
PC15,0.022245549949088585,0.40904903004384113
PC16,0.017534096769257598,0.42658312681309873
PC17,0.013785295272680652,0.44036842208577937
PC18,0.013649454291361463,0.4540178763771408
PC19,0.013519526453694648,0.46753740283083545
PC20,0.013401335295296775,0.48093873812613225
