Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Kendall_r,Kendall_p,Abs_Pearson
turbine_to_boiler_eff,-0.134055,2.7486213374745557e-140,-0.12874,1.8966147643991972e-129,-0.086121,2.9779666808081713e-129,0.13405486255204302
hour_cos,-0.025567,1.6836236368187916e-06,-0.024297,5.36062258693189e-06,-0.0166,5.271418443003821e-06,0.02556723420628222
enthalpy_drop,-0.022349,2.848524429745014e-05,-0.022146,3.365785238365432e-05,-0.014738,3.484320834932144e-05,0.022349000696088528
Entalphy_Cold_Reheat_kjkg,0.019637,0.00023576169829190376,0.016936,0.0015168271246314262,0.011303,0.0015009042352806174,0.019636869902486857
ΔHP_isentropis_KjKg,-0.018601,0.0004955471027998998,-0.016962,0.0014913431223442547,-0.011337,0.0014527442836640436,0.018600550256390975
air_to_fuel_ratio,-0.018032,0.0007337580091620293,-0.017974,0.0007631128940955486,-0.01197,0.0007741463409053846,0.01803187915509463
day_of_month,-0.016291,0.0022838766246996815,-0.014791,0.005609784965197586,-0.010023,0.005595449240378084,0.016290965509182992
Cold_Reheat_Pressure_Mpa,0.016109,0.002556464009307156,0.018177,0.0006643944709475107,0.012116,0.0006671782661037557,0.016109318311699625
Boiler_oxygen_level_,-0.015863,0.0029728088943150864,-0.015666,0.0033515653861296954,-0.010437,0.0033747890423649215,0.01586347732432037
High_exhaust_pressure_Mpa,-0.014809,0.005551845320276591,-0.01535,0.004049316954844424,-0.010252,0.003986511829395651,0.014809442960369405
dow_sin,0.014437,0.0068643162695472305,0.015585,0.003518587843758635,0.011095,0.0035588166731771293,0.014436821053931181
hour,0.014431,0.006885016830759642,0.016503,0.0019989920181571483,0.011195,0.002064714603391336,0.014431476411012552
Temp_C,-0.014287,0.007465329896458859,-0.014789,0.0056174778208859565,-0.009884,0.005502668613011541,0.01428722586622381
energy_per_coal,-0.014064,0.008448032125232078,-0.011482,0.03155580157418913,-0.007663,0.03136873867568405,0.014064437011608333
heat_rate_deviation,-0.013753,0.010015581006792217,-0.0112,0.035969974804615654,-0.007504,0.03506428837380999,0.013752976587504566
Entalphy_inlet_MS_kjkg,-0.013225,0.013270626468494508,-0.015144,0.004570676831779968,-0.010096,0.004575545299087955,0.013225033374634626
Boiler_oxygen_level__bin,-0.012893,0.01576406924305761,-0.013635,0.010674417016457922,-0.009957,0.010685619132248633,0.012893474842468148
Entalphy_Isentropis_Cold_Reheat_kjkg,-0.012566,0.018626568939154358,-0.010706,0.04498647818025827,-0.007124,0.045422007060582206,0.012565542113437096
Condenser_vacuum_kPa,0.012184,0.022524281540532303,0.011096,0.037731930016097495,0.007392,0.037875636846750514,0.012183663551864224
NPHR_KcalKwh,0.011702,0.028431656200275365,0.012177,0.02259568637384935,0.008138,0.02228411839355579,0.011702364589933033
steam_to_fuel_ratio,-0.011339,0.03372720394657156,-0.012837,0.0162295583395586,-0.008567,0.016123783544505655,0.01133945156124854
CO2_ppm,-0.010976,0.03984827506485215,-0.010303,0.05369679014794089,-0.006871,0.053652739667608876,0.010976324697804844
deltaP_ratio,0.010937,0.040569938396167,0.013852,0.009492453399679602,0.009279,0.009157103171745699,0.01093670263837716
Corrected_Flue_Gas_Out_Temperature_C,-0.010846,0.042272654021653214,-0.009814,0.06611952301188412,-0.006563,0.06527061525719975,0.010845532473101278
O2_,-0.01084,0.04237573782412926,-0.013197,0.013467762313004754,-0.008825,0.013192080264542298,0.01084011338898819
Feedwater_flow_th,-0.010096,0.05868854760380931,-0.010089,0.05886327883529706,-0.006728,0.0588028541902063,0.010096270666491535
Energy_Input_From_Boiler_Kcalh,-0.010079,0.059116960563841206,-0.003908,0.46426937374529575,-0.002617,0.4623910553324784,0.010079199389115383
Opacity_,0.010012,0.06083990331070311,0.01218,0.02256571347104637,0.008137,0.02229648701305333,0.010011563828846487
o2_aph_diff,0.009703,0.0692373005581577,0.00891,0.09522515065587782,0.005957,0.09429020907399117,0.00970295780978978
Coal_Flow_th,0.009698,0.0693862990766308,0.011458,0.031911692608414685,0.007628,0.03215230870531487,0.009697767133738221
Reheat_steam_pressure_turbine_side_MPa,0.009541,0.07400358950047387,0.00499,0.35009624879424217,0.003306,0.3531598123325398,0.009541271338102543
O2_in_APH_,-0.009438,0.07718912539781779,-0.006452,0.22701109402150527,-0.004311,0.22597007434069105,0.009437896717355596
SO2_mgm3,0.008695,0.10350314357232733,0.008591,0.10770752436395473,0.005733,0.10737862104376975,0.008694898056438112
Nett_Load_MW,-0.008501,0.1114404505877324,-0.008517,0.11075353630325852,-0.005668,0.11140686803419324,0.008500774418650436
net_to_gross_load,-0.008264,0.12177124457438866,-0.007638,0.15268741759510082,-0.005101,0.15196368416653416,0.00826382237069621
CO_mgm3,-0.007782,0.1450595637452488,-0.005564,0.2975166157880132,-0.003723,0.2957404614493513,0.007782251831415014
NTHR_KcalKwh,-0.007561,0.1568147289941751,-0.006065,0.2561279913440971,-0.004051,0.2552760867784337,0.007561481694864586
HP_Turbine_eff_,-0.007548,0.15757446593919044,-0.007903,0.13890362920064722,-0.005293,0.13716395009535703,0.007547652095364884
day_of_week,-0.007498,0.16031224537403857,-0.009534,0.07422326123465434,-0.006799,0.07405268987585714,0.007498230916765268
Flue_Gas_in_Temperature_C,-0.007031,0.18799661160439377,-0.006234,0.2431154654730331,-0.004165,0.2420818550313898,0.007030981428277995
hour_sin,-0.006752,0.20610223161082605,-0.009162,0.0862259743312587,-0.006241,0.08794037922486904,0.006752357305588576
Cold_Reheat_Temperature_C,-0.006675,0.21136692535525947,-0.005553,0.2984484065375727,-0.003716,0.29664822444017225,0.006674704482883323
month,-0.006077,0.25514121844618776,-0.006506,0.2231096507087029,-0.004595,0.22358525441706956,0.006077294017645762
Main_steam_pressure_boiler_side_Mpa,0.006057,0.2567342209620416,0.003714,0.4867730271922657,0.002471,0.48764572347470514,0.006056965479087956
Circulating_water_outlet_temperature_,0.005968,0.2638122264225167,0.00465,0.3839713099775547,0.003086,0.38608180097289946,0.005967684435922394
Feedwater_temperature_,-0.005935,0.26644751002981015,-0.007597,0.15489034764396858,-0.005064,0.15491961527395812,0.0059348661118825054
feedwater_temp_rise,-0.005878,0.27105095391210354,-0.006916,0.19529704768474665,-0.004607,0.19572734752160192,0.005878068961370268
Main_steam_flow_th,-0.005704,0.28546359551713474,-0.007309,0.17112079650826917,-0.004887,0.16985431565259823,0.00570440006687888
week_of_year,-0.005322,0.318974069222293,-0.006282,0.23947126740138477,-0.004257,0.2383962855810391,0.005322246282672149
Dust_mgm3,0.005129,0.3368866922687632,0.006503,0.22333956624887719,0.004321,0.2249048198254765,0.005128741402741702
month_cos,0.005049,0.3444246034290689,0.006502,0.223458068036729,0.004587,0.2244470500095579,0.005049296459622539
quarter,-0.004906,0.3583339989334867,-0.005569,0.2970487236575386,-0.004294,0.2971868222449836,0.004905558076774053
Control_stage_pressure_Mpa,-0.004487,0.4008023376534464,-0.003518,0.5100953252185981,-0.00234,0.5110690878740373,0.004487100875528124
Flow_rate_KNm3h,-0.004201,0.4315334048031989,-0.001411,0.7915626828418705,-0.000971,0.7851016187172933,0.004200747899660451
dow_cos,-0.004181,0.43371870695126236,0.000344,0.9485784583836451,0.000243,0.9491313725476263,0.004180847192379358
month_sin,0.004176,0.43430104433958205,0.003656,0.49357293047140627,0.002612,0.4944859748135124,0.0041755538620455645
Main_steam_temperature_turbine_side_,-0.003679,0.4908959911424489,-0.003303,0.5362958014107861,-0.002203,0.5361871310589565,0.0036790513878286867
Flue_gas_temperature_,-0.003278,0.5393698160200336,0.000105,0.9843765574817297,7e-05,0.9842196127395686,0.0032778778830819897
Reheat_steam_temperature_boiler_side_,0.003278,0.5393772116350439,0.00243,0.6491640399150108,0.001629,0.647397225315226,0.0032778181215797004
O2_Out_APH_,0.003166,0.553253407054663,0.001874,0.7256307850242529,0.001244,0.7266982865477971,0.0031663978115260066
Pressure_Kpa,0.003162,0.5538233028355039,0.00394,0.46071573596960835,0.002652,0.45644852016092763,0.003161851435807604
Gross_Load_MW,0.003125,0.5585045859125194,0.002769,0.6041507539631494,0.001832,0.6068255908759519,0.0031245923971976886
ΔP_aktual_KjKg,0.002987,0.5759142186684569,0.009623,0.07155803859754306,0.006432,0.07084942397072826,0.0029873318827399807
Reheater_desuperheating_water_flow_th,0.002889,0.5885108821673402,0.003113,0.5600064248698521,0.002094,0.5565085677772221,0.0028892389655035622
Reheat_steam_temperature_turbine_side_,0.002847,0.5939852011009938,0.001601,0.7643119676241993,0.001079,0.7617598064252481,0.0028469131596470304
Main_steam_pressure_turbine_side_MPa,0.002836,0.5954007790844467,0.003873,0.4682932925591047,0.002576,0.46940661524207206,0.0028359974728638902
Main_steam_temperature_boiler_side_,-0.002332,0.6623314341566889,-0.000193,0.9711212595593601,-0.000113,0.9746536689938197,0.002332223215822534
aph_effect_leak_ratio_log,-0.002089,0.6956595438193706,-0.000542,0.919193146285633,-0.00038,0.9149603041367127,0.0020891715138486693
HHV_KcalKg,-0.001925,0.7185720061704525,-0.001097,0.837285228544891,-0.000719,0.8400279338300143,0.001924583153307452
APH_Effectiveness_,0.001603,0.7641276299489809,0.002229,0.6764169842778693,0.0015,0.6734553106090531,0.001602529036082656
Flue_gas_temperature__bin,-0.001061,0.8425680356744584,0.00095,0.8588570642591586,0.000699,0.8577137388490141,0.0010606970556458102
