Feature,Shapiro_Stat,Shapiro_p,AD_Stat,AD_Critical_5pct,KS_Stat,KS_p,Skewness,Kurtosis,Is_Normal
enthalpy_drop,0.999635,0.5104618579752866,0.31636,0.787,0.00309,0.8902235771280602,0.010075,-0.047341,True
net_to_gross_load,0.999616,0.4597436290263779,0.786925,0.787,0.003665,0.732332436594141,-0.008643,-0.103173,True
heat_rate_deviation,0.999612,0.4482733641287157,0.788113,0.787,0.005932,0.16884056729549046,-0.020529,-0.054261,True
flue_gas_temp_diff,0.999596,0.4064397835199706,0.673208,0.787,0.003976,0.6348800978105833,-0.010031,-0.086996,True
steam_to_fuel_ratio,0.999578,0.3625481040376731,0.382143,0.787,0.00307,0.8946583210785971,0.019333,-0.05443,True
energy_per_coal,0.999567,0.33792575998160723,1.521019,0.787,0.004343,0.5212745392415861,0.028481,-0.130665,True
o2_aph_diff,0.999409,0.10797475265813677,1.020818,0.787,0.004055,0.6100482842398682,-0.016964,-0.104068,True
deltaP_ratio,0.999248,0.030830329399546465,0.576623,0.787,0.004426,0.49679762902046887,0.004154,-0.10696,False
turbine_to_boiler_eff,0.999198,0.020808524793373948,0.929988,0.787,0.004276,0.5414667592982505,-0.016502,-0.115107,False
air_to_fuel_ratio,0.999175,0.01746966215575106,1.199346,0.787,0.00419,0.5680672887163118,0.003336,-0.164705,False
feedwater_temp_rise,0.99903,0.005601355275363128,1.885942,0.787,0.006504,0.1025115948260884,0.036547,-0.158726,False
Main_steam_pressure_turbine_side_MPa,0.998806,0.0010312645938084291,1.489903,0.787,0.004518,0.47005169893519516,0.01468,-0.187241,False
Nett_Load_MW,0.998769,0.0007874982343999931,1.364416,0.787,0.004775,0.39965353786902247,-0.004289,-0.186579,False
Velocity_ms,0.998715,0.0005312378115991547,1.296439,0.787,0.004622,0.44085816380446574,0.004425,-0.168006,False
Circulating_water_outlet_temperature_,0.998709,0.0005074552163925947,1.45892,0.787,0.00591,0.1719360234770383,0.01311,-0.173558,False
HHV_KcalKg,0.998698,0.00046989682761873605,1.593822,0.787,0.004958,0.3535467769241015,-0.033394,-0.146061,False
ΔP_aktual_KjKg,0.998685,0.000429063941737812,1.136378,0.787,0.00414,0.5836053558419221,-0.003817,-0.160112,False
High_exhaust_pressure_Mpa,0.998678,0.00040862895038227404,1.369419,0.787,0.003881,0.6649695498341028,-0.011709,-0.190476,False
Superheater_desuperheating_water_flow_th,0.998678,0.00040663694458671,1.377516,0.787,0.003927,0.6504040126215739,-0.020244,-0.142968,False
Main_steam_pressure_boiler_side_Mpa,0.998669,0.0003804717259045379,1.047414,0.787,0.004362,0.5158085533484104,0.007981,-0.144696,False
O2_Out_APH_,0.998658,0.0003541734070595778,1.094768,0.787,0.003608,0.7498418841294537,-0.004644,-0.170507,False
Entalphy_Cold_Reheat_kjkg,0.998645,0.00032135731387049603,1.772732,0.787,0.005054,0.33085574157389364,0.038695,-0.151675,False
HP_Turbine_eff_,0.998643,0.00031721513985380446,1.08195,0.787,0.003826,0.6823447414354187,-0.016224,-0.127493,False
