Feature,Levene_Stat,Levene_p,Bartlett_Stat,Bartlett_p,Fligner_Stat,Fligner_p,Homoscedastic
Superheater_desuperheating_water_flow_th,4.1e-05,0.9949176118820628,0.000183,0.9892187879777047,7.6e-05,0.9930527222993448,True
Feedwater_temperature_,0.078859,0.778851268144992,0.219119,0.6397118419012472,0.022094,0.8818383545254915,True
Main_steam_pressure_turbine_side_MPa,0.101347,0.7502206185335425,0.285619,0.5930418071460344,0.24629,0.6196997489549054,True
Boiler_oxygen_level_,0.220321,0.6387983663506549,0.098769,0.753312230660131,0.141539,0.7067561389519321,True
Reheat_steam_temperature_boiler_side_,0.26627,0.6058482797851443,0.29809,0.5850823605175737,0.119923,0.7291175522905364,True
Main_steam_flow_th,0.491325,0.48334169814809413,1.781332,0.18198585685762797,0.729781,0.39295402943077384,True
Reheat_steam_pressure_turbine_side_MPa,0.557053,0.455455031168989,0.17761,0.6734352380002859,0.626088,0.42879385886672305,True
Circulating_water_outlet_temperature_,0.677,0.4106273935800886,0.112784,0.7369964342489674,0.945951,0.3307521633594033,True
Main_steam_temperature_turbine_side_,0.927955,0.33540146895816647,0.40246,0.5258217127940261,1.113069,0.2914158139409236,True
Main_steam_temperature_boiler_side_,1.063735,0.30237205565329833,1.880248,0.17030601347806784,0.804091,0.3698731041713498,True
Main_steam_pressure_boiler_side_Mpa,1.357328,0.24400896347081216,1.057116,0.3038738433162704,1.421665,0.23312961093167778,True
Flue_gas_temperature_,1.832772,0.17580918222708997,3.965463,0.04644274390531431,2.447075,0.11774409133399871,True
Feedwater_pressure_MPa,1.955435,0.16201121491617704,1.832666,0.17581294060492877,2.347281,0.12550170522365955,True
SO2_mgm3,2.063092,0.15091260284989802,2.084788,0.1487728541100158,1.781547,0.18195953117925445,True
Feedwater_flow_th,2.610031,0.1061987037120745,2.644539,0.10390626480541644,2.45116,0.11743805920640109,True
Reheater_desuperheating_water_flow_th,3.349688,0.06722623883928526,3.982159,0.04598459132801374,3.861588,0.04940355077295316,True
Control_stage_pressure_Mpa,3.613675,0.057314555942156946,1.849288,0.17386617288441594,3.882234,0.04879958500952928,True
Condenser_vacuum_kPa,4.494683,0.03400741680661955,4.817865,0.028166216509287648,3.907873,0.048060377439910935,False
High_exhaust_pressure_Mpa,5.660096,0.017360494429040293,4.632439,0.031372941337800754,6.110966,0.013434568776556858,False
Reheat_steam_temperature_turbine_side_,9.136533,0.0025073635174805036,9.08885,0.002571725889881736,10.054911,0.001519423682793788,False
