Feature,VIF,Status
Entalphy_Cold_Reheat_kjkg,inf,HIGH
enthalpy_drop,inf,HIGH
Entalphy_inlet_MS_kjkg,inf,HIGH
Entalphy_Isentropis_Cold_Reheat_kjkg,1267976.7959,HIGH
ΔHP_isentropis_KjKg,167231.6124,HIGH
Condenser_vacuum_kPa,149414.7914,HIGH
turbine_to_boiler_eff,54974.0832,HIGH
Boiler_oxygen_level_,38323.7721,HIGH
Cold_Reheat_Pressure_Mpa,33804.295,HIGH
High_exhaust_pressure_Mpa,32514.7086,HIGH
NPHR_KcalKwh,29082.3259,HIGH
air_to_fuel_ratio,24810.198,HIGH
energy_per_coal,13148.2539,HIGH
Temp_C,395.3041,HIGH
heat_rate_deviation,63.9341,HIGH
Boiler_oxygen_level__bin,28.8857,HIGH
day_of_month,4.1773,OK
hour,3.7986,OK
hour_cos,1.012,OK
dow_sin,1.0023,OK
