Model,Train_Time_s,RMSE_Train,RMSE_Val,MAE_Val,R2_Train,R2_Val,Overfit
Linear,0.158,0.000217,0.000217,0.000145,0.999981,0.999982,-1e-06
Ridge,0.115,0.000393,0.0004,0.00028,0.999939,0.999939,0.0
ExtraTrees,9.349,0.0,0.003142,0.001358,1.0,0.996231,0.003769
RandomForest,48.078,0.001421,0.003684,0.001842,0.999207,0.994817,0.00439
XGBoost,0.759,0.004246,0.007188,0.004623,0.992921,0.980273,0.012648
LightGBM,0.545,0.007542,0.008361,0.005178,0.977664,0.973306,0.004358
Lasso,1.326,0.021416,0.021765,0.017386,0.819905,0.819136,0.00077
GradientBoosting,77.909,0.024595,0.025491,0.018616,0.76247,0.7519,0.01057
DecisionTree,2.339,0.03137,0.031529,0.020607,0.613589,0.620442,-0.006853
AdaBoost,28.221,0.048748,0.049533,0.039487,0.066883,0.063217,0.003665
Dummy_Mean,0.088,0.050465,0.051185,0.040853,0.0,-0.000301,0.000301
