Iteration,Learning_Rate,Batch_Size,L2,Dropout_1,Dropout_2,Dropout_3,Hidden_1,Hidden_2,Hidden_3,Patience,Epochs_Run,Best_Epoch,Best_Val_Loss,Best_Val_Acc,Train_Time_s
1,0.000133,64,5.41675458324745e-07,0.412,0.339,0.178,256,128,64,10,17,7,0.359561,0.988513,16.91
2,0.000636,512,4.0137830238462505e-05,0.123,0.389,0.375,128,32,16,15,20,5,0.078,0.988513,5.44
3,0.000375,512,1.2366582530130827e-07,0.31,0.26,0.019,256,64,32,20,22,2,0.065872,0.988513,7.47
4,0.000716,512,1.1400863701127328e-05,0.337,0.119,0.243,64,32,64,15,25,10,0.065097,0.988513,5.81
5,0.007025,512,1.791236257104367e-05,0.254,0.106,0.092,256,128,16,20,29,9,0.078327,0.988513,10.75
6,3.3e-05,64,1.0842262717330158e-06,0.365,0.225,0.208,128,64,16,20,47,27,0.539848,0.741819,36.47
7,0.003364,512,0.0005727904470799618,0.458,0.339,0.369,128,128,16,15,28,13,0.0779,0.988513,7.82
8,9.5e-05,512,9.756194291174552e-05,0.316,0.335,0.386,64,32,16,20,27,7,0.078057,0.988513,5.74
9,3.1e-05,64,0.0008862326508576248,0.409,0.179,0.002,256,128,16,20,31,11,0.43625,0.988513,28.61
10,0.002347,256,1.9777828512462736e-07,0.243,0.146,0.345,128,32,64,20,23,3,0.062833,0.988513,8.08
11,0.001015,64,8.287522363768153e-05,0.355,0.455,0.189,64,128,32,20,26,6,0.082616,0.988513,21.02
12,0.001916,128,8.789004341405489e-07,0.202,0.116,0.284,128,64,16,20,25,5,0.06635,0.988513,12.35
13,1.2e-05,256,7.970414230898699e-06,0.325,0.378,0.056,256,32,64,20,32,12,0.421899,0.892881,12.84
14,4.1e-05,64,2.0319809838424954e-07,0.216,0.164,0.372,64,64,16,10,15,5,0.097435,0.988513,11.77
15,0.004115,512,7.477591721434687e-07,0.267,0.453,0.13,256,32,64,15,20,5,0.067119,0.988513,6.81
