Contamination,Dataset,Precision,Recall,F1,Anomalies_Detected,Total,Anomaly_Rate
0.01,Train,0.225071,0.145488,0.176734,351,35063,1.0011
0.01,Val,0.134328,0.104651,0.117647,67,7487,0.8949
0.01,Test,0.252874,0.173228,0.205607,87,7514,1.1578
0.015,Train,0.192015,0.186004,0.188962,526,35063,1.5002
0.015,Val,0.135417,0.151163,0.142857,96,7487,1.2822
0.015,Test,0.222222,0.204724,0.213115,117,7514,1.5571
0.02,Train,0.168091,0.217311,0.189558,702,35063,2.0021
0.02,Val,0.116788,0.186047,0.143498,137,7487,1.8298
0.02,Test,0.197452,0.244094,0.21831,157,7514,2.0894
0.03,Train,0.158745,0.307551,0.209404,1052,35063,3.0003
0.03,Val,0.105023,0.267442,0.15082,219,7487,2.9251
0.03,Test,0.184332,0.314961,0.232558,217,7514,2.8879
0.05,Train,0.142531,0.460405,0.217675,1754,35063,5.0024
0.05,Val,0.099723,0.418605,0.161074,361,7487,4.8217
0.05,Test,0.15445,0.464567,0.231827,382,7514,5.0838
