Feature,Correlation,Abs_Correlation
aph_effect_leak_ratio_log,0.281865,0.281865
APH_Leakage__raw,-0.167512,0.167512
aph_effect_leak_ratio,0.11812,0.11812
CO_mgm3_raw,-0.095706,0.095706
Reheater_desuperheating_water_flow_th_raw,-0.068364,0.068364
Dust_mgm3_raw,-0.020217,0.020217
Feedwater_temperature_,0.019614,0.019614
feedwater_temp_rise,0.018944,0.018944
week_of_year,0.018635,0.018635
NTHR_KcalKwh,-0.016797,0.016797
Boiler_Eff_,-0.016551,0.016551
flue_gas_temp_diff,-0.014167,0.014167
Corrected_Flue_Gas_Out_Temperature_C,-0.014144,0.014144
Main_steam_temperature_turbine_side_,0.013529,0.013529
Flue_gas_temperature_,0.013254,0.013254
hour_cos,0.012973,0.012973
Flue_gas_temperature__bin,0.012717,0.012717
O2_Out_APH_,0.012326,0.012326
turbine_to_boiler_eff,0.009848,0.009848
Entalphy_Cold_Reheat_kjkg,-0.009481,0.009481
NPHR_KcalKwh,-0.009457,0.009457
Boiler_oxygen_level_,0.008414,0.008414
Velocity_ms,0.008364,0.008364
SO2_mgm3,0.007948,0.007948
Main_steam_temperature_boiler_side_,0.007947,0.007947
o2_aph_diff,0.007907,0.007907
Nett_Load_MW,0.007859,0.007859
HP_Turbine_eff_,0.007817,0.007817
Flue_Gas_in_Temperature_C,0.007795,0.007795
Opacity_,-0.007778,0.007778
Cold_Reheat_Temperature_C,-0.007716,0.007716
HHV_KcalKg,0.007688,0.007688
Boiler_oxygen_level__bin,0.007605,0.007605
ΔHP_isentropis_KjKg,0.006972,0.006972
air_to_fuel_ratio,0.006889,0.006889
Reheat_steam_pressure_turbine_side_MPa,-0.006632,0.006632
Control_stage_pressure_Mpa,0.006538,0.006538
Temp_C,0.006251,0.006251
Reheat_steam_temperature_turbine_side_,-0.005985,0.005985
hour_sin,-0.005793,0.005793
deltaP_ratio,-0.005723,0.005723
enthalpy_drop,0.005626,0.005626
day_of_month,0.00543,0.00543
steam_to_fuel_ratio,-0.005174,0.005174
Main_steam_flow_th,-0.004758,0.004758
heat_rate_deviation,-0.004701,0.004701
dow_sin,-0.004652,0.004652
Pressure_Kpa,-0.00465,0.00465
Gross_Load_MW,0.004528,0.004528
day_of_week,0.004404,0.004404
Reheat_steam_temperature_boiler_side_,0.004335,0.004335
Cold_Reheat_Pressure_Mpa,-0.004233,0.004233
Circulating_water_outlet_temperature_,-0.004213,0.004213
month_sin,-0.004041,0.004041
hour,-0.003998,0.003998
APH_Effectiveness_,0.003359,0.003359
High_exhaust_pressure_Mpa,-0.003184,0.003184
Coal_Flow_th,0.003082,0.003082
ΔP_aktual_KjKg,-0.002916,0.002916
Entropi_Inlet_MS_KjKg_Deg_C,-0.002649,0.002649
Feedwater_flow_th,0.002464,0.002464
Refference_Temperature_C,0.002456,0.002456
Condenser_vacuum_kPa,-0.002425,0.002425
net_to_gross_load,0.002311,0.002311
Nox_mgm3,-0.002286,0.002286
Entalphy_Isentropis_Cold_Reheat_kjkg,0.002286,0.002286
energy_per_coal,-0.002182,0.002182
Flow_rate_KNm3h,0.001883,0.001883
dow_cos,0.001687,0.001687
O2_in_APH_,-0.001679,0.001679
Main_steam_pressure_boiler_side_Mpa,0.001634,0.001634
Superheater_desuperheating_water_flow_th,0.001572,0.001572
month,0.00131,0.00131
Feedwater_pressure_MPa,0.001268,0.001268
Main_steam_pressure_turbine_side_MPa,0.000936,0.000936
CO2_ppm,-0.000931,0.000931
month_cos,-0.000323,0.000323
O2_,0.000322,0.000322
quarter,0.000101,0.000101
Entalphy_inlet_MS_kjkg,-8.4e-05,8.4e-05
Energy_Input_From_Boiler_Kcalh,6.6e-05,6.6e-05
