hour,Anomaly_Count,Total,Anomaly_Rate,Anomaly_Rate_Pct
0,37,1464,0.025273224043715847,2.527322404371585
1,31,1464,0.02117486338797814,2.1174863387978142
2,23,1464,0.015710382513661202,1.5710382513661203
3,22,1464,0.015027322404371584,1.5027322404371584
4,17,1464,0.011612021857923498,1.1612021857923498
5,20,1464,0.01366120218579235,1.366120218579235
6,18,1464,0.012295081967213115,1.2295081967213115
7,25,1464,0.01707650273224044,1.707650273224044
8,23,1464,0.015710382513661202,1.5710382513661203
9,18,1464,0.012295081967213115,1.2295081967213115
10,23,1464,0.015710382513661202,1.5710382513661203
11,21,1463,0.014354066985645933,1.4354066985645932
12,19,1458,0.013031550068587106,1.3031550068587106
13,17,1458,0.011659807956104253,1.1659807956104253
14,21,1458,0.01440329218106996,1.440329218106996
15,14,1458,0.009602194787379973,0.9602194787379973
16,18,1458,0.012345679012345678,1.2345679012345678
17,31,1458,0.021262002743484224,2.1262002743484225
18,28,1458,0.019204389574759947,1.9204389574759946
19,21,1458,0.01440329218106996,1.440329218106996
20,35,1458,0.02400548696844993,2.400548696844993
21,17,1458,0.011659807956104253,1.1659807956104253
22,23,1458,0.01577503429355281,1.577503429355281
23,21,1458,0.01440329218106996,1.440329218106996
