Iteration,n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision,Recall,F1
1,300,10.0,2,4,balanced_subsample,1.0,1.0,1.0
2,100,15.0,2,4,balanced,1.0,1.0,1.0
3,300,10.0,10,2,balanced,1.0,1.0,1.0
4,100,10.0,2,1,,1.0,1.0,1.0
5,300,10.0,10,1,,1.0,1.0,1.0
6,300,,2,2,,1.0,1.0,1.0
7,200,10.0,2,4,balanced_subsample,1.0,1.0,1.0
8,200,20.0,2,1,balanced_subsample,1.0,1.0,1.0
9,100,10.0,5,1,balanced_subsample,1.0,1.0,1.0
10,200,20.0,2,4,balanced_subsample,1.0,1.0,1.0
11,300,10.0,5,1,,1.0,1.0,1.0
12,200,20.0,10,1,,1.0,1.0,1.0
13,100,10.0,10,1,balanced_subsample,1.0,1.0,1.0
14,100,15.0,2,2,balanced_subsample,1.0,1.0,1.0
15,200,20.0,2,2,balanced_subsample,1.0,1.0,1.0
16,100,20.0,10,4,,1.0,1.0,1.0
17,100,15.0,10,4,balanced,1.0,1.0,1.0
18,100,,5,2,,1.0,1.0,1.0
19,300,15.0,10,2,balanced,1.0,1.0,1.0
20,100,10.0,5,2,balanced_subsample,1.0,1.0,1.0
21,100,15.0,10,4,balanced_subsample,1.0,1.0,1.0
22,100,,5,4,balanced_subsample,1.0,1.0,1.0
23,100,20.0,2,1,,1.0,1.0,1.0
24,300,20.0,10,4,balanced_subsample,1.0,1.0,1.0
25,300,,5,1,balanced,1.0,1.0,1.0
26,300,,2,1,balanced,1.0,1.0,1.0
27,100,15.0,10,2,,1.0,1.0,1.0
28,100,,5,4,balanced_subsample,1.0,1.0,1.0
29,300,20.0,10,1,,1.0,1.0,1.0
30,300,10.0,10,4,balanced_subsample,1.0,1.0,1.0
