Iteration,n_estimators,max_samples,contamination,max_features,bootstrap,Precision,Recall,F1
25,300,0.9,0.02,0.5,False,0.246575,0.418605,0.310345
9,300,0.7,0.02,1.0,True,0.25,0.383721,0.302752
22,300,0.7,0.02,1.0,False,0.233577,0.372093,0.286996
26,300,0.7,0.02,0.5,False,0.22069,0.372093,0.277056
10,300,0.5,0.03,0.7,True,0.195122,0.465116,0.274914
19,300,0.5,0.02,0.7,True,0.216783,0.360465,0.270742
28,100,0.5,0.05,1.0,True,0.167131,0.697674,0.269663
30,200,0.5,0.05,1.0,True,0.163588,0.72093,0.266667
24,100,0.9,0.03,0.5,True,0.188406,0.453488,0.266212
5,300,0.7,0.03,0.7,True,0.183036,0.476744,0.264516
2,300,0.7,0.03,0.7,False,0.18018,0.465116,0.25974
27,300,0.9,0.05,1.0,False,0.156915,0.686047,0.255411
17,100,0.5,0.02,0.7,True,0.205882,0.325581,0.252252
20,200,0.9,0.05,0.5,False,0.15285,0.686047,0.25
12,300,0.5,0.05,0.5,False,0.152231,0.674419,0.248394
13,300,0.7,0.05,0.5,False,0.151596,0.662791,0.246753
15,300,0.5,0.03,0.7,False,0.169643,0.44186,0.245161
4,300,0.5,0.05,0.7,True,0.147757,0.651163,0.24086
11,200,0.5,0.05,0.5,False,0.146214,0.651163,0.238806
16,200,0.9,0.05,0.5,True,0.14248,0.627907,0.232258
6,200,0.5,0.05,0.7,True,0.142091,0.616279,0.230937
3,100,0.7,0.02,0.7,False,0.160839,0.267442,0.200873
8,200,0.5,0.01,0.7,False,0.223881,0.174419,0.196078
18,300,0.7,0.01,0.5,True,0.214286,0.174419,0.192308
21,300,auto,0.03,0.7,True,0.121339,0.337209,0.178462
7,300,auto,0.03,0.5,False,0.116667,0.325581,0.171779
1,100,auto,0.05,0.7,True,0.094675,0.372093,0.150943
29,200,auto,0.03,1.0,False,0.105023,0.267442,0.15082
14,300,auto,0.02,0.7,False,0.121429,0.197674,0.150442
23,100,0.5,0.01,0.5,False,0.149254,0.116279,0.130719
