Feature,Value,Mean_Score
APH_Leakage__raw,0.628763,0.461264
APH_Leakage__raw,0.689926,0.461133
APH_Leakage__raw,0.751089,0.458669
APH_Leakage__raw,0.812252,0.456294
APH_Leakage__raw,0.873415,0.453057
APH_Leakage__raw,0.934578,0.451952
APH_Leakage__raw,0.995741,0.449526
APH_Leakage__raw,1.056904,0.449111
APH_Leakage__raw,1.118068,0.446415
APH_Leakage__raw,1.179231,0.445853
APH_Leakage__raw,1.240394,0.443646
APH_Leakage__raw,1.301557,0.444387
APH_Leakage__raw,1.36272,0.442335
APH_Leakage__raw,1.423883,0.442012
APH_Leakage__raw,1.485046,0.441677
APH_Leakage__raw,1.546209,0.441366
APH_Leakage__raw,1.607372,0.442795
APH_Leakage__raw,1.668535,0.440809
APH_Leakage__raw,1.729698,0.438454
APH_Leakage__raw,1.790861,0.439478
APH_Leakage__raw,1.852024,0.438212
APH_Leakage__raw,1.913187,0.43909
APH_Leakage__raw,1.97435,0.439073
APH_Leakage__raw,2.035513,0.437573
APH_Leakage__raw,2.096676,0.437587
APH_Leakage__raw,2.157839,0.438114
APH_Leakage__raw,2.219002,0.438458
APH_Leakage__raw,2.280165,0.437989
APH_Leakage__raw,2.341328,0.437552
APH_Leakage__raw,2.402491,0.43761
APH_Leakage__raw,2.463654,0.437108
APH_Leakage__raw,2.524817,0.4382
APH_Leakage__raw,2.58598,0.439662
APH_Leakage__raw,2.647143,0.439107
APH_Leakage__raw,2.708306,0.439541
APH_Leakage__raw,2.769469,0.440277
APH_Leakage__raw,2.830632,0.440153
APH_Leakage__raw,2.891795,0.441288
APH_Leakage__raw,2.952958,0.442693
APH_Leakage__raw,3.014121,0.443987
APH_Leakage__raw,3.075284,0.444033
APH_Leakage__raw,3.136447,0.446019
APH_Leakage__raw,3.19761,0.446404
APH_Leakage__raw,3.258773,0.447766
APH_Leakage__raw,3.319936,0.449481
APH_Leakage__raw,3.381099,0.450364
APH_Leakage__raw,3.442262,0.451588
APH_Leakage__raw,3.503425,0.4541
APH_Leakage__raw,3.564588,0.455702
APH_Leakage__raw,3.625751,0.456874
CO_mgm3_raw,99.088407,0.458234
CO_mgm3_raw,105.663459,0.45642
CO_mgm3_raw,112.238511,0.454066
CO_mgm3_raw,118.813563,0.453634
CO_mgm3_raw,125.388616,0.450724
CO_mgm3_raw,131.963668,0.449302
CO_mgm3_raw,138.53872,0.447385
CO_mgm3_raw,145.113772,0.447196
CO_mgm3_raw,151.688824,0.446308
CO_mgm3_raw,158.263877,0.444491
CO_mgm3_raw,164.838929,0.443676
CO_mgm3_raw,171.413981,0.443315
CO_mgm3_raw,177.989033,0.443646
CO_mgm3_raw,184.564086,0.442131
CO_mgm3_raw,191.139138,0.441665
CO_mgm3_raw,197.71419,0.439524
CO_mgm3_raw,204.289242,0.438306
CO_mgm3_raw,210.864294,0.438599
CO_mgm3_raw,217.439347,0.438735
CO_mgm3_raw,224.014399,0.438008
CO_mgm3_raw,230.589451,0.438748
CO_mgm3_raw,237.164503,0.43851
CO_mgm3_raw,243.739556,0.437913
CO_mgm3_raw,250.314608,0.437822
CO_mgm3_raw,256.88966,0.439067
CO_mgm3_raw,263.464712,0.439875
CO_mgm3_raw,270.039765,0.439569
CO_mgm3_raw,276.614817,0.438381
CO_mgm3_raw,283.189869,0.438345
CO_mgm3_raw,289.764921,0.439198
CO_mgm3_raw,296.339973,0.439753
CO_mgm3_raw,302.915026,0.439782
CO_mgm3_raw,309.490078,0.439364
CO_mgm3_raw,316.06513,0.440149
CO_mgm3_raw,322.640182,0.440357
CO_mgm3_raw,329.215235,0.441512
CO_mgm3_raw,335.790287,0.442671
CO_mgm3_raw,342.365339,0.44118
CO_mgm3_raw,348.940391,0.442844
CO_mgm3_raw,355.515444,0.444004
CO_mgm3_raw,362.090496,0.445747
CO_mgm3_raw,368.665548,0.446367
CO_mgm3_raw,375.2406,0.449272
CO_mgm3_raw,381.815652,0.449045
CO_mgm3_raw,388.390705,0.45136
CO_mgm3_raw,394.965757,0.451075
CO_mgm3_raw,401.540809,0.454127
CO_mgm3_raw,408.115861,0.45536
CO_mgm3_raw,414.690914,0.45659
CO_mgm3_raw,421.265966,0.458892
Dust_mgm3_raw,6.865686,0.459996
Dust_mgm3_raw,7.174718,0.457943
Dust_mgm3_raw,7.48375,0.45709
Dust_mgm3_raw,7.792782,0.455008
Dust_mgm3_raw,8.101814,0.453569
Dust_mgm3_raw,8.410846,0.451251
Dust_mgm3_raw,8.719878,0.449569
Dust_mgm3_raw,9.02891,0.448342
Dust_mgm3_raw,9.337942,0.447296
Dust_mgm3_raw,9.646974,0.446098
Dust_mgm3_raw,9.956006,0.443794
Dust_mgm3_raw,10.265038,0.443525
Dust_mgm3_raw,10.57407,0.442167
Dust_mgm3_raw,10.883102,0.441686
Dust_mgm3_raw,11.192134,0.440674
Dust_mgm3_raw,11.501166,0.44009
Dust_mgm3_raw,11.810198,0.43925
Dust_mgm3_raw,12.119231,0.437532
Dust_mgm3_raw,12.428263,0.437126
Dust_mgm3_raw,12.737295,0.437796
Dust_mgm3_raw,13.046327,0.437023
Dust_mgm3_raw,13.355359,0.438484
Dust_mgm3_raw,13.664391,0.438085
Dust_mgm3_raw,13.973423,0.437337
Dust_mgm3_raw,14.282455,0.436204
Dust_mgm3_raw,14.591487,0.4362
Dust_mgm3_raw,14.900519,0.435379
Dust_mgm3_raw,15.209551,0.436393
Dust_mgm3_raw,15.518583,0.437335
Dust_mgm3_raw,15.827615,0.438091
Dust_mgm3_raw,16.136647,0.437397
Dust_mgm3_raw,16.445679,0.438603
Dust_mgm3_raw,16.754711,0.438769
Dust_mgm3_raw,17.063743,0.439624
Dust_mgm3_raw,17.372775,0.440282
Dust_mgm3_raw,17.681807,0.440903
Dust_mgm3_raw,17.990839,0.441475
Dust_mgm3_raw,18.299871,0.441864
Dust_mgm3_raw,18.608903,0.444102
Dust_mgm3_raw,18.917935,0.444212
Dust_mgm3_raw,19.226967,0.444966
Dust_mgm3_raw,19.535999,0.446193
Dust_mgm3_raw,19.845031,0.447485
Dust_mgm3_raw,20.154063,0.447671
Dust_mgm3_raw,20.463095,0.449884
Dust_mgm3_raw,20.772127,0.454181
Dust_mgm3_raw,21.081159,0.453622
Dust_mgm3_raw,21.390191,0.456761
Dust_mgm3_raw,21.699223,0.457394
Dust_mgm3_raw,22.008255,0.461171
Reheater_desuperheating_water_flow_th_raw,1.044236,0.461868
